Valor Ganado - Function points,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
This worksheet is used to help calculate the Earned Value (EV) or Budgeted Cost of Work Performed (BCWP).,,,,,,,,,,,,,,,,,Earned Value Management Template,
,,,,,,,,,,,,,,,,,© 2012 Vertex42 LLC,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,NOTA: Poner 100% el día que se acabó la tarea y arrastrar el 100 hasta final de iteración.,,,,,,,,,,,,,,
Task Name,Porcentaje,Tiempo,Asignación,26/02/2018,27/02/2018,28/02/2018,1/03/2018,2/03/2018,5/03/2018,6/03/2018,7/03/2018,8/03/2018,9/03/2018,12/03/2018,13/03/2018,14/03/2018,15/03/2018,16/03/2018
Logica,"0,15","0,74",Mariana y Ale,,,,,,,,,,,,100%,100%,100%,100%
Test,"0,09","0,44",Mariana y Ale,,,,,,,,,,,,,100%,100%,100%
US-18,-,-,-,,,,,,,,,,,,,,,
Analisis,"0,17","0,82",IanCarlo - Ramón,,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Logica,"0,17","0,85",IanCarlo - Ramón,,,,,,,50%,50%,50%,50%,50%,75%,75%,100%,100%
Test,"0,14","0,71",IanCarlo - Ramón,,,,,,,,,,,,,100%,100%,100%
US-6,-,-,-,,,,,,,,,,,,,,,
Análisis,"0,12","0,59",Paco - Carlos,,,,,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Vista,"0,12","0,59",Paco - Carlos,,,,,,,,100%,100%,100%,100%,100%,100%,100%,100%
Logica,"0,15","0,74",Paco - Carlos,,,,,,,100%,100%,100%,100%,100%,100%,100%,100%,100%
Test,"0,12","0,59",Paco - Carlos,,,,,,,,,,,,,100%,100%,100%
US-7,-,-, - ,,,,,,,,,,,,,,,
Analisis,"0,20","0,98",Ramón,,,,,,,,,,100%,100%,100%,100%,100%,100%
Vista,"0,20","0,98",Ramón,,,,,,,,,,,,100%,100%,100%,100%
Logica,"0,25","1,23",Ramón,,,,,,,,,,,100%,100%,100%,100%,100%
Test,"0,20","0,98",Ian,,,,,,,,,,,,,,100%,100%
US-8,-,-,-,,,,,,,,,,,,,,,
Analisis,"0,11","0,55",Ramón,,,,,,,,,,100%,100%,100%,100%,100%,100%
Logica,"0,12","0,57",Ramón,,,,,,,,,,,,,100%,100%,100%
Test,"0,10","0,47",Ian,,,,,,,,,,,,,,100%,100%
US-9,-,-,-,,,,,,,,,,,,,,,
Analisis,"0,17","0,82",Ramón,,,,,,,,,,,,,100%,100%,100%
Logica,"0,17","0,85",Ramón,,,,,,,,,,,,,,100%,100%
Test,"0,14","0,71",Ian,,,,,,,,,,,,,,100%,100%
US-10,-,-,-,,,,,,,,,,,,,,,
Analisis,"0,08","0,39",Ramón,,,,,,,,,,100%,100%,100%,100%,100%,100%
Vista,"0,08","0,39",Ramón,,,,,,,,,,,,,,100%,100%
Logica,"0,10","0,49",Ramón,,,,,,,,,,,,,,100%,100%
Test,"0,08","0,39",Alehandro,,,,,,,,,,,,,,,100%
US-5,-,-,-,,,,,,,,,,,,,,,
Análisis,"0,12","0,59",Paco - Carlos,,,,,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Vista,"0,12","0,59",Paco - Carlos,,,,,,,,100%,100%,100%,100%,100%,100%,100%,100%
Logica,"0,15","0,74",Paco - Carlos,,,,,,,100%,100%,100%,100%,100%,100%,100%,100%,100%
Test,"0,12","0,59",Paco - Carlos,,,,,,,,,,,,,100%,100%,100%
Insert new rows above this one,,,,,,,,,,,,,,,,,,
,Cumulative Earned Value (EV),,,"0,000","0,730","0,730","0,850","1,560","2,100","2,892","3,685","3,825","4,605","5,085","5,479","6,633","8,830","8,910"
