Plan Libelula,,,,,,,,,,
Reporte de Análisis de valor ganado,,,,,,,,,,
,,,,,,,,,,
Prepared By:,Team Libelula,,,Libelula,,,,,,
Date:,,,,16/03/2018,,,,,,
,,,INICIO I:,19/02/2018,,,,,,
For Period:,Iteración 1,,,,,,,,,
,,,,,,,,,,
Planned Value (PV) or Budgeted Cost of Work Scheduled (BCWS),,,,,,,,,,
Task Name,Porcentaje,Tiempo Estimado,Asignación,,,,,,,
Despliegue Iteración 2,"3,5000","6,000",Mancha,,,,,,,
,,,,,,,,,,
,Planned Value and Estimated Cost,"18,54","64,97",,,,,,,
,Por día,"2,06","7,22",,,,,,,
Actual Cost and Earned Value,1,"2,00","3,00",4,"5,00","6,00","7,00",8,"9,00",
,20/03/2018,21/03/2018,22/02/2018,23/03/2018,2/04/2018,3/04/2018,4/04/2018,5/04/2018,6/04/2018,
Cumulative Planned Value (PV),"2,06","4,12","6,18","8,24","10,30","12,36","14,42","16,48","18,54",¿Dónde deberíamos de estar? (Proyecto)
Cumulative Earned Value (EV),"1,01","3,32","4,23","10,02","13,86","14,30","15,40","16,35","18,54",¿Dónde estamos? (Proyecto)
PV de la Iteración,"11,11","22,22","33,33","44,44","55,56","66,67","77,78","88,89","100,00",¿Dónde deberíamos de estar? (Iteración)
EV de la iteración,"5,45","17,88","22,82","54,07","74,76","77,13","83,06","88,19","100,00",¿Dónde estamos? (Iteración)
,,,,,,,,,,
Cumulative Estimated Cost (EC),"7,22","14,44","21,66","28,88","36,10","43,31","50,53","57,75","64,97",¿Cuánto calculamos que nos iba a costar?
Cumulative Actual Cost (AC),"7,99","26,80","28,87","38,92","50,31","53,34","55,47","65,91","69,75",¿Cuánto nos ha costado?
,,,,,,,,,,
,,,,,,,,,,
Cost Variance (CV = EV - AC),"-6,98","-23,48","-24,64","-28,90","-36,45","-39,04","-40,07","-49,56","-51,21",
Schedule Variance (SV = EV - PV),"-1,05","-0,80","-1,95","1,78","3,56","1,94","0,98","-0,13","0,00",
Cost Performance Index (CPI = EV/AC),"0,13","0,12","0,15","0,26","0,28","0,27","0,28","0,25","0,27",
Schedule Performance Index (SPI = EV/PV),"0,49","0,80","0,68","1,22","1,35","1,16","1,07","0,99","1,00",
Estimated Cost at Completion (EAC),"146,63","149,86","126,55","71,99","67,30","69,16","66,78","74,74","69,75",
Valor ganado diario,"1,01","2,31","0,92","5,79","3,84","0,44","1,10","0,95","2,19",
,,,,,,,,,,
Velocidad Actual,"2,65",,,,,,,,,
Velocidad Deseada,"2,06",,,,,,,,,
,,,,,,,,,,
Error Estimación,"6,86%",,,,,,,,,
,,,,,,,,,,
Avance proyecto planeado,"62,45%",,,,,,,,,
Avance proyecto real,"62,45%",,,,,,,,,
