 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Calcular el costo estimado por tarea.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Actual Cost (AC) of Work Performed,,,,,NOTA: Poner el total de horas que se dedicaron a la tarea diariamente.,,,,,,,,,,,,,
Task Name,Porcentaje,Tiempo,Asignación,26/02/2018,27/02/2018,28/02/2018,1/03/2018,2/03/2018,5/03/2018,6/03/2018,7/03/2018,8/03/2018,9/03/2018,12/03/2018,13/03/2018,14/03/2018,15/03/2018,16/03/2018
Logica,"0,10","0,49",Ramón,,,,,,,,,,,,,,"0,50","0,50"
Test,"0,08","0,39",Alehandro,,,,,,,,,,,,,,,
US-5,-,-,-,,,,,,,,,,,,,,,
Análisis,"0,12","0,59",Paco - Carlos,,,,,"0,10",,,,,,,,,,
Vista,"0,12","0,59",Paco - Carlos,,,,,,,,"0,73",,,,,,,
Logica,"0,15","0,74",Paco - Carlos,,,,,,,"1,35",,,,,,,,
Test,"0,12","0,59",Paco - Carlos,,,,,,,,,,,,,"0,90",,
Insert new rows above this one,,,,,,,,,,,,,,,,,,
,Total Actual Cost,,,"0,00","2,36","0,00","1,75","1,24","3,90","3,72","5,37","3,67","2,00","14,20","11,16","8,28","10,64","0,50"
,,,,,,,,,,,,,,,,,,
,Cumulative Actual Cost (AC),,,"0,00","2,36","2,36","4,11","5,35","9,25","12,97","18,34","22,00","24,00","38,20","49,36","57,65","68,28","68,78"
